satid   n_stars percent
1       0.3     0.06%   
2       1.0     0.21%   
3       1.48    0.31%   
4       1.83    0.39%   
5       2.11    0.44%   
6       2.35    0.5%    
7       2.54    0.54%   
8       2.72    0.57%   
9       2.87    0.6%    
10      3.0     0.63%   
11      3.13    0.66%   
12      3.24    0.68%   
13      3.34    0.7%    
14      3.44    0.73%   
15      3.53    0.74%   
16      3.61    0.76%   
17      3.69    0.78%   
18      3.77    0.79%   
19      3.84    0.81%   
20      3.9     0.82%   
21      3.97    0.84%   
22      4.03    0.85%   
23      4.09    0.86%   
24      4.14    0.87%   
25      4.19    0.88%   
26      4.25    0.9%    
27      4.29    0.9%    
28      4.34    0.91%   
29      4.39    0.93%   
30      4.43    0.93%   
31      4.47    0.94%   
32      4.52    0.95%   
33      4.56    0.96%   
34      4.59    0.97%   
35      4.63    0.98%   
36      4.67    0.98%   
37      4.7     0.99%   
38      4.74    1.0%    
39      4.77    1.01%   
40      4.81    1.01%   
41      4.84    1.02%   
42      4.87    1.03%   
43      4.9     1.03%   
44      4.93    1.04%   
45      4.96    1.05%   
46      4.99    1.05%   
47      5.02    1.06%   
48      5.04    1.06%   
49      5.07    1.07%   
50      5.1     1.07%   
51      5.12    1.08%   
52      5.15    1.09%   
53      5.17    1.09%   
54      5.2     1.1%    
55      5.22    1.1%    
56      5.24    1.1%    
57      5.27    1.11%   
58      5.29    1.11%   
59      5.31    1.12%   
60      5.33    1.12%   
61      5.36    1.13%   
62      5.38    1.13%   
63      5.4     1.14%   
64      5.42    1.14%   
65      5.44    1.15%   
66      5.46    1.15%   
67      5.48    1.15%   
68      5.5     1.16%   
69      5.52    1.16%   
70      5.54    1.17%   
71      5.55    1.17%   
72      5.57    1.17%   
73      5.59    1.18%   
74      5.61    1.18%   
75      5.63    1.19%   
76      5.64    1.19%   
77      5.66    1.19%   
78      5.68    1.2%    
79      5.69    1.2%    
80      5.71    1.2%    
81      5.73    1.21%   
82      5.74    1.21%   
83      5.76    1.21%   
84      5.77    1.22%   
85      5.79    1.22%   
86      5.8     1.22%   
87      5.82    1.23%   
88      5.83    1.23%   
89      5.85    1.23%   
90      5.86    1.24%   
91      5.88    1.24%   
92      5.89    1.24%   
93      5.91    1.25%   
94      5.92    1.25%   
95      5.93    1.25%   
96      5.95    1.25%   
97      5.96    1.26%   
98      5.97    1.26%   
99      5.99    1.26%   
100     6.0     1.26%   
